User,Bot
hey,"Hey there! How’s it going?"
hi,"Hi! What’s up?"
hey,"Hey! Long time no see!"
hello,"Hi there! How have you been?"
hello,"Hey! What’s new?"
hello,"Hi! How’s your day going?"
hi,"Hey! Nice to see you!"
hey,"Hi! What’s on your mind?"
What is Chullah?,"Chullah is a mobile app connecting people who seek healthy, home-cooked meals with
local home chefs. It offers a convenient alternative to fast food by providing access to
nutritious, homemade meals. Users can order takeaway or get meals delivered directly
from these chefs. Chullah promotes healthy eating while empowering chefs to earn
income. It focuses on convenience, transparency, and community, creating a platform for
people longing for the comfort of home-cooked food."
How do I sign up for the Chullah app?
"To sign up, download the Chullah app, click on the 'Sign Up' button, and enter your details like name, email Verify your account via the OTP sent to your email, and you're all set!"
I can’t log in to my Chullah account. What should I do?
"If you're unable to log in, ensure you're using the correct email/phone and password. If you've forgotten your password, click 'Forgot Password' to reset it. If the issue persists, contact support at chullahofficial@gmail.com."
Why am I not receiving the OTP for login?
"Ensure your phone has a stable network connection. If you still don’t receive the OTP, check your spam folder or request a new OTP. If the problem continues, contact Chullah support."
Can I sign up using my Google ?
"Yes, you can sign up using your Google  for a quicker registration process. Just click on the respective icon during sign-up but in future not now."
What should I do if my account is locked?
"If your account is locked due to multiple failed login attempts, click 'Forgot Password' to reset it. If you're still unable to access your account, reach out to Chullah support for assistance."
How do I update my login credentials?
"To update your login credentials, go to 'Profile Settings' in the app, select 'Change Password,' and follow the instructions. You’ll need to verify your identity via OTP."
I’m getting an error during sign-up. What does it mean?
"Errors during sign-up usually occur due to invalid details or network issues. Double-check your information and ensure a stable internet connection. If the issue persists, contact support."
Can I have multiple accounts with the same phone number?
"No, each phone number can only be linked to one Chullah account. If you need to create a new account, use a different phone number or email."
How do I verify my email during sign-up?
"After signing up, you’ll receive a verification link in your email. Click the link to verify your email address. If you don’t see the email, check your spam folder."
What should I do if my account is hacked?
"If you suspect your account is hacked, reset your password immediately and contact Chullah support. We’ll help secure your account and investigate the issue."
How do I register as a chef?,"To register as a chef, download the Chullah app, go to the ""Chef Registration"" section, and fill out the required details. Once approved, you can start listing your meals and earning income."
How do I place an order?,"To place an order, browse the available meals in the app, select the dish you like, and proceed to checkout. You can choose delivery or takeaway and pay securely through the app."
What payment methods are accepted?,"Chullah accepts payments through Easypaisa, JazzCash, and other secure online payment gateways."
Can I track my order?,"Yes, you can track your order in real-time using the ""Order Tracking"" feature in the app. You'll also receive notifications about your order status."
Do you offer gluten-free meals?,"Yes, many of our home chefs offer gluten-free meals. You can filter your search to find gluten-free options."
How do I contact a chef?, "You can contact a chef directly through the in-app messaging feature. Just go to the chef's profile and send them a message."
What if I have a food allergy?,"Please check the meal description for allergen information. You can also contact the chef directly through the app to confirm if the meal is safe for you."
How do I become a rider for Chullah?,"To become a rider, go to the ""Rider Registration"" section in the app, fill out the required details, and submit your application. Once approved, you can start delivering meals."
Can I cancel my order?,"Yes, you can cancel your order before it is prepared by the chef. Go to the ""My Orders"" section and select the order you want to cancel."
What are your delivery charges?,"Delivery charges vary depending on your location and the distance from the chef. You'll see the exact delivery fee at checkout."
How do I rate a meal?,"After receiving your order, go to the ""My Orders"" section, select the meal, and leave a rating and review. Your feedback helps us improve!"
Do you offer discounts?,"Yes, we offer discounts and promotions from time to time. Check the ""Offers"" section in the app for the latest deals."
How do I reset my password?,"Go to the ""Forgot Password"" option on the login screen, enter your registered email, and follow the instructions to reset your password."
What is the refund policy?,"If you are unsatisfied with your order, please contact our support team within 24 hours. We will review your case and process a refund if applicable."
Can I order in bulk for an event?,"Yes, you can place bulk orders for events. Contact the chef directly through the app to discuss your requirements."
How do I update my profile?,"Go to the ""Profile"" section in the app, edit your details, and save the changes."
What is the AI meal recommendation system?,"Our AI meal recommendation system suggests meals based on your past orders, dietary preferences, and location. It helps you discover new dishes you might like."
How do I contact customer support?,You can contact our 24/7 customer support team through the in-app chatbot or email us at support@chullah.com.
Is my data secure?,"Yes, we use advanced encryption and security measures to protect your personal and payment information."
Can I change my delivery address?,"Yes, you can update your delivery address in the ""Profile"" section before placing an order."
How do I delete my account?,"To delete your account, go to the ""Account Settings"" section, select ""Delete Account,"" and confirm your decision. Note that this action is irreversible."
What are the hygiene standards for chefs?,"All chefs on Chullah are required to follow strict hygiene standards. They must prepare meals in clean, sanitized kitchens and use fresh ingredients."
How do I apply for a job as a chef?,"To apply as a chef, download the Chullah app, go to the ""Chef Registration"" section, and submit your application. Once approved, you can start listing your meals."
Can I order from multiple chefs in one order?,"Currently, each order is tied to a single chef. However, you can place separate orders from different chefs."
How do I report an issue with my order?,"If you have an issue with your order, go to the ""My Orders"" section, select the order, and use the ""Report Issue"" option. Our support team will assist you."
What is the Chullah Wallet?,"The Chullah Wallet is a feature that allows you to store funds for quick and easy payments. You can top up your wallet using Easypaisa, JazzCash, or other payment methods."
How do I check my order history?,"Go to the ""My Orders"" section in the app to view your order history, including past and current orders."
Can I schedule an order for later?,"Yes, you can schedule an order for a specific date and time during checkout."
